Months,MSFT,TTWO,EA,ATVI,NVDA
January-18,28.18,9.28,16.28,10.16,15.39
February-18,28.67,9.62,16.58,10.63,16.2
March-18,29.2875,9.8675,18.66,12.05,17.4
April-18,30.535,10.85,19.37,11.08,15.71
May-18,25.8,11.57,16.51,10.75,13.14
June-18,23.01,9,14.4,10.49,10.21
July-18,25.81,10.25,15.93,11.88,9.19
August-18,23.465,8.3,15.23,10.675,9.325
September-18,24.49,10.14,16.4475,10.82,11.682
October-18,26.665,10.67,15.83,11.46,12.0205
November-18,25.2575,11.065,14.91,11.74,13.609
December-18,27.91,12.265,16.38,12.44,15.4
January-18,27.725,12.475,15.59,11.29,23.92
February-18,26.58,16.07,18.8,11.12,22.66
March-18,25.39,15.365,19.53,10.97,18.46
April-18,25.92,16.18,20.18,11.38,20
May-18,25.01,16.39,24.41,11.99,20.04
June-18,26,15.28,23.6,11.68,15.935
July-18,27.4,13.49,22.25,11.84,13.83
August-18,26.6,13.22,22.58,11.85,13.31
September-18,24.89,12.72,20.45,11.9,12.51
October-18,26.63,15.78,23.35,13.39,14.8
November-18,25.58,13.95,23.19,12.42,15.63
December-18,25.96,13.55,20.6,12.32,13.86
January-18,29.53,15.6,18.575,12.34,14.77
February-18,31.74,15.45,16.335,11.95,15.15
March-18,32.255,15.385,16.485,12.82,15.395
April-18,32.015,14.105,15.38,12.875,13
May-18,29.19,11.52,13.62,11.74,12.43
June-18,30.59,9.46,12.35,11.99,13.82
July-18,29.47,8.78,11.02,12.03,13.54
August-18,30.82,10.25,13.33,11.76,14.03
September-18,29.76,10.44,12.69,11.275,13.34
October-18,28.54,11.15,12.35,10.885,11.975
November-18,26.615,12.37,14.81,11.455,11.97
December-18,26.7097,11.01,14.52,10.62,12.26
January-18,27.45,12.17,15.73,11.4,12.26
February-18,27.8,14.64,17.53,14.295,12.66
March-18,28.605,16.15,17.7,14.57,12.83
April-18,33.1,15.26,17.61,14.96,13.77
May-18,34.9,16.64,22.99,14.43,14.47
June-18,34.545,14.97,22.99,14.26,14.04
July-18,31.84,17.555,26.12,17.98,14.435
August-18,33.4,18.36,26.64,16.32,14.75
September-18,33.28,18.17,25.55,16.68,15.56
October-18,35.405,17.91,26.25,16.68,15.189
November-18,38.13,16.36,22.17,17.21,15.6
December-18,37.41,17.37,22.94,17.83,16.02
January-18,37.84,19.18,26.4,17.13,15.7
February-18,38.31,19.77,28.59,19.35,18.38
March-18,40.99,21.93,29.01,20.44,17.91
April-18,40.4,20.38,28.3,20.01,18.47
May-18,40.94,20.63,35.13,20.78,19
June-18,41.7,22.24,35.87,22.3,18.54
July-18,43.16,22.38,33.6,22.38,17.5
August-18,45.43,23.51,37.84,23.54,19.45
September-18,46.36,23.07,35.61,20.79,18.45
October-18,46.95,26.45,40.97,19.95,19.54
November-18,47.81,27.66,43.93,21.65,20.97
December-18,46.45,28.03,47.015,20.15,20.05
January-18,40.4,29.72,54.86,20.895,19.205
February-18,43.85,26.49,57.18,23.32,22.06
March-18,40.655,25.455,58.815,22.725,20.925
April-18,48.64,23.7,58.09,22.815,22.195
May-18,46.86,27.37,62.755,25.26,22.13
June-18,44.15,27.57,66.5,24.21,20.11
July-18,46.7,31.58,71.55,25.79,19.95
August-18,43.52,29.13,66.15,28.63,22.48
September-18,44.26,28.73,67.75,30.89,24.65
October-18,52.64,33.2,72.07,34.76,28.37
November-18,54.35,35.37,67.79,37.66,31.72
December-18,55.48,34.84,68.72,38.71,32.96
January-18,55.09,34.7,64.545,34.82,29.29
February-18,50.88,35.99,64.24,31.67,31.36
March-18,55.23,37.67,66.11,33.84,35.63
April-18,49.87,34.18,61.85,34.47,35.53
May-18,53,38.91,76.75,39.26,46.72
June-18,51.17,37.92,75.76,39.63,47.01
July-18,56.68,40.18,76.32,40.16,57.1
August-18,57.46,43.47,81.23,41.37,61.34
September-18,57.6,45.08,85.4,44.3,68.52
October-18,59.92,44.39,78.52,43.17,71.16
November-18,60.26,49.23,79.24,36.61,92.2
December-18,62.14,49.29,78.76,36.11,106.74
January-18,64.65,53.65,83.43,40.21,109.18
February-18,63.98,56.98,86.5,45.13,101.48
March-18,65.86,59.27,89.52,49.86,108.93
April-18,68.46,62.85,94.82,52.25,104.3
May-18,69.84,76.74,113.33,58.58,144.35
June-18,68.93,73.38,105.72,57.57,144.56
July-18,72.7,79.48,116.74,61.78,162.51
August-18,74.77,97.79,121.5,65.56,169.44
September-18,74.49,102.23,118.06,64.51,178.77
October-18,83.18,110.65,119.6,65.49,206.81
November-18,84.17,111.55,106.35,62.4,200.71
December-18,85.54,109.78,105.06,63.32,193.5
January-18,95.01,126.67,126.96,74.13,245.8
February-18,93.77,111.87,123.7,73.13,242
March-18,91.27,97.78,121.24,67.46,231.59
April-18,93.52,99.71,117.98,66.35,224.9
May-18,98.84,112.08,130.91,70.91,252.19
June-18,98.61,118.36,141.02,76.32,236.9
July-18,106.08,113.02,128.75,73.42,244.86
August-18,112.33,133.56,113.41,72.1,280.68
September-18,114.37,137.99,120.49,83.19,281.02
October-18,112.26,127.95,109.49,77.64,253.72
